City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,14.72,86,97,0.44,AU,1674321576
1,bambous virieux,-20.3428,57.7575,26.14,83,40,1.54,MU,1674321576
2,atuona,-9.8,-139.0333,25.75,79,14,7.17,PF,1674321571
3,port hardy,50.6996,-127.4199,4.24,97,100,4.63,CA,1674321325
4,ushuaia,-54.8,-68.3,11.81,76,75,2.57,AR,1674321577
5,kramat,-8.1311,113.4499,23.53,94,100,0.73,ID,1674321577
6,puerto ayora,-0.7393,-90.3518,29.98,88,57,2.24,EC,1674321578
7,bluff,-46.6,168.3333,12.01,69,80,7.7,NZ,1674321449
8,kedrovyy,56.1667,91.8167,-40.63,99,32,1.38,RU,1674321578
9,valparaiso,-33.0393,-71.6273,22.8,79,0,5.66,CL,1674321340
10,college,64.8569,-147.8028,-15.82,80,100,2.06,US,1674321579
11,camopi,3.1655,-52.3158,25.74,92,71,2.01,GF,1674321491
12,arvika,59.6553,12.5852,-5.66,98,20,0.81,SE,1674321579
13,jamestown,42.097,-79.2353,-0.2,52,100,2.57,US,1674321342
14,kutum,14.2,24.6667,22.61,17,29,3.81,SD,1674321580
15,tobane,-21.95,27.9,29.65,29,15,4.51,BW,1674321580
16,castro,-24.7911,-50.0119,26.29,55,100,2.91,BR,1674321580
17,hasaki,35.7333,140.8333,2.9,53,94,5.39,JP,1674321581
18,hobyo,5.3505,48.5268,25.06,76,11,10.53,SO,1674321556
19,aguimes,27.9054,-15.4461,19.26,58,20,10.73,ES,1674321581
20,zyryanskoye,56.8306,86.6258,-39.75,99,13,1.74,RU,1674321582
21,micheweni,-4.9667,39.8333,27.34,83,78,7.36,TZ,1674321582
22,saskylakh,71.9167,114.0833,-38.46,98,39,1.57,RU,1674321583
23,torbay,47.6666,-52.7314,0.88,97,100,11.62,CA,1674321583
24,severo-kurilsk,50.6789,156.125,-8.98,80,100,5.02,RU,1674321583
25,albany,42.6001,-73.9662,-0.2,80,91,0.89,US,1674321578
26,kapaa,22.0752,-159.319,23.18,91,100,4.63,US,1674321566
27,georgetown,5.4112,100.3354,25.96,94,20,1.03,MY,1674321556
28,solnechnyy,50.7214,136.6319,-28.08,96,99,1.3,RU,1674321584
29,srednekolymsk,67.45,153.6833,-38.31,99,99,2.72,RU,1674321584
30,saint petersburg,59.8944,30.2642,-5.92,93,0,2.0,RU,1674321371
